index,value
309,0.86328125
310,0.88671875
311,0.85546875
312,0.8359375
313,0.9296875
314,0.8203125
315,0.9921875
316,0.81640625
317,0.87109375
318,0.84765625
319,0.84375
320,0.84375
321,0.9296875
322,0.87109375
323,0.953125
324,0.90625
325,0.8515625
326,0.84375
327,0.84375
328,0.84765625
329,0.84375
330,0.86328125
331,0.89453125
332,0.87890625
333,0.87890625
334,0.92578125
335,0.984375
336,0.89453125
337,0.8515625
338,0.84765625
339,0.8203125
340,0.96875
341,1.4609375
342,0.82421875
343,0.95703125
344,0.890625
345,0.8671875
346,0.84765625
347,0.875
348,1.1875
349,0.90234375
350,0.859375
351,0.88671875
352,0.89453125
353,0.8359375
354,0.86328125
355,0.859375
356,0.8515625
357,0.81640625
358,0.87109375
359,1.0234375
360,0.90234375
361,0.8671875
362,0.8671875
363,0.84375
364,0.87109375
365,0.87890625
366,0.8515625
367,0.859375
368,0.83984375
369,0.828125
370,0.85546875
371,0.92578125
372,0.81640625
373,0.875
374,0.90625
375,0.87109375
376,0.8515625
377,0.8359375
378,0.8515625
379,0.8515625
380,0.90625
381,0.96875
382,0.83984375
383,0.94140625
384,0.97265625
385,0.875
386,0.8671875
387,0.8359375
388,0.91015625
389,0.87109375
390,0.87890625
391,1.2109375
392,0.8828125
393,0.86328125
394,0.83203125
395,0.83203125
396,0.87890625
397,0.890625
398,0.85546875
399,0.859375
400,0.8828125
401,0.984375
402,0.87109375
403,0.94140625
404,0.87109375
405,0.87109375
406,0.890625
407,0.8671875
408,1.015625
409,0.84375
410,0.90234375
411,0.85546875
412,0.82421875
413,1.0859375
414,0.8828125
415,0.89453125
416,0.84375
417,0.81640625
418,0.92578125
419,0.8515625
420,0.8671875
421,0.8203125
422,0.8984375
423,0.953125
424,0.9609375
425,0.8671875
426,1.0859375
427,0.96484375
428,0.85546875
429,0.890625
430,0.86328125
431,0.86328125
432,0.83984375
433,0.8671875
434,0.84375
435,1.046875
436,0.88671875
437,0.83984375
438,0.9296875
439,0.8828125
440,0.82421875
441,0.85546875
442,0.8828125
443,0.8828125
444,0.94921875
445,0.84765625
446,0.9140625
447,0.890625
448,0.859375
449,0.83203125
450,0.87109375
451,0.8515625
452,0.91015625
453,0.85546875
454,0.94140625
455,0.86328125
456,0.9609375
457,0.98828125
458,0.83984375
459,0.859375
460,0.85546875
461,0.90234375
462,0.890625
463,0.98046875
464,1.125
465,0.7421875
466,0.859375
467,0.84765625
468,0.83984375
469,0.9140625
470,0.87890625
471,0.8359375
472,0.84765625
473,0.8984375
474,0.8515625
475,0.94921875
476,0.83984375
477,0.84375
478,0.84765625
479,0.921875
480,0.8828125
481,0.8359375
482,0.87109375
483,1.0703125
484,1.3203125
485,0.85546875
486,0.97265625
487,0.84375
488,0.8515625
489,0.83984375
490,0.859375
491,0.93359375
492,0.91015625
493,0.85546875
494,0.94921875
495,0.8515625
496,0.828125
497,0.95703125
498,0.83203125
499,0.9296875
500,0.91015625
501,0.8359375
502,0.84375
503,0.86328125
504,0.84765625
505,0.88671875
506,0.8828125
507,0.82421875
508,0.8671875
509,0.85546875
510,0.84765625
511,0.8671875
512,0.85546875
513,0.89453125
514,1.0078125
515,0.8828125
516,0.8828125
517,0.90234375
518,1.0859375
519,0.859375
520,0.859375
521,0.87890625
522,0.84765625
523,0.83984375
524,0.890625
525,0.8359375
526,0.96484375
527,0.84375
528,0.8359375
529,0.890625
530,0.890625
531,0.88671875
532,0.875
533,0.83984375
534,0.87109375
535,0.8359375
536,0.8671875
537,0.91015625
538,0.94140625
539,0.85546875
540,0.859375
541,0.828125
542,0.87109375
543,0.84765625
544,0.8515625
545,0.84765625
546,0.95703125
547,0.85546875
548,0.8515625
549,0.90625
550,0.859375
551,0.89453125
552,1.1875
553,0.85546875
554,0.8671875
555,0.8828125
556,0.8984375
557,0.84375
558,0.83203125
559,0.8203125
560,0.9140625
561,0.89453125
562,0.8515625
563,0.83984375
564,0.875
565,0.84765625
566,0.86328125
567,0.83984375
568,0.85546875
569,0.84375
570,0.82421875
571,0.875
572,0.859375
573,0.85546875
574,0.921875
575,0.84765625
576,0.96484375
577,0.8828125
578,0.9140625
579,0.8671875
580,0.8515625
581,0.89453125
582,0.87109375
583,0.9609375
584,1.09375
585,1.3203125
586,0.890625
587,0.8515625
588,0.87890625
589,0.8671875
590,0.83203125
591,0.97265625
592,0.85546875
593,0.875
594,0.859375
595,0.85546875
596,0.85546875
597,0.87890625
598,0.828125
599,0.93359375
600,0.85546875
601,0.84375
602,0.8515625
603,0.94140625
604,0.87890625
605,0.83984375
606,0.9296875
607,0.9375
608,0.83984375
609,0.8359375
610,0.859375
611,0.859375
612,0.91796875
613,0.8984375
614,0.84765625
615,0.85546875
616,0.859375
617,0.859375
618,0.97265625
619,0.984375
620,0.8359375
621,0.875
622,0.91796875
623,0.8515625
624,0.859375
625,0.94921875
626,0.85546875
627,0.8515625
628,0.8359375
629,0.86328125
630,0.85546875
631,0.84765625
632,0.875
633,0.90625
634,0.8671875
635,0.82421875
636,0.83984375
637,0.875
638,0.83984375
639,0.87890625
640,0.85546875
641,1.0390625
642,0.97265625
643,0.87109375
644,0.87890625
645,0.890625
646,0.8828125
647,0.8671875
648,0.85546875
649,1.1015625
650,0.8671875
651,0.89453125
652,0.84765625
653,0.84765625
654,0.96484375
655,0.875
656,0.80859375
657,0.87109375
658,0.98046875
659,0.93359375
660,0.9296875
661,0.8984375
662,0.8515625
663,0.85546875
664,0.953125
665,0.859375
666,0.90625
667,0.9375
668,0.89453125
669,0.890625
670,0.8671875
671,0.828125
672,1.3125
673,0.85546875
674,0.85546875
675,1.21875
676,0.87109375
677,0.8125
678,0.88671875
679,0.890625
