flat_index,float32_value,bf16_hex,stored_low_byte,stored_high_byte
358,-0.0128173828125,0xbc52,82,188
359,-0.01470947265625,0xbc71,113,188
360,0.0054931640625,0x3bb4,180,59
361,-0.0181884765625,0xbc95,149,188
362,-0.0155029296875,0xbc7e,126,188
363,-0.017822265625,0xbc92,146,188
364,0.010498046875,0x3c2c,44,60
365,0.003143310546875,0x3b4e,78,59
366,-0.0174560546875,0xbc8f,143,188
367,0.007781982421875,0x3bff,255,59
368,0.005767822265625,0x3bbd,189,59
369,0.0186767578125,0x3c99,153,60
370,0.0166015625,0x3c88,136,60
371,0.026611328125,0x3cda,218,60
372,0.00592041015625,0x3bc2,194,59
373,0.0245361328125,0x3cc9,201,60
374,-0.0172119140625,0xbc8d,141,188
375,0.00101470947265625,0x3a85,133,58
376,0.005462646484375,0x3bb3,179,59
377,0.007659912109375,0x3bfb,251,59
378,0.017822265625,0x3c92,146,60
379,-0.0174560546875,0xbc8f,143,188
380,-0.0225830078125,0xbcb9,185,188
381,-0.00030517578125,0xb9a0,160,185
382,0.0291748046875,0x3cef,239,60
383,-0.000629425048828125,0xba25,37,186
384,-0.0040283203125,0xbb84,132,187
385,0.0030670166015625,0x3b49,73,59
386,0.00084686279296875,0x3a5e,94,58
387,-0.032470703125,0xbd05,5,189
388,0.01068115234375,0x3c2f,47,60
389,0.007781982421875,0x3bff,255,59
390,-0.006103515625,0xbbc8,200,187
391,0.00640869140625,0x3bd2,210,59
392,0.0361328125,0x3d14,20,61
393,-0.0096435546875,0xbc1e,30,188
394,-0.049560546875,0xbd4b,75,189
395,-0.02294921875,0xbcbc,188,188
396,0.0185546875,0x3c98,152,60
397,0.0203857421875,0x3ca7,167,60
398,0.0167236328125,0x3c89,137,60
399,0.0267333984375,0x3cdb,219,60
400,-0.001251220703125,0xbaa4,164,186
401,0.0074462890625,0x3bf4,244,59
402,-0.0015716552734375,0xbace,206,186
403,0.00011348724365234375,0x38ee,238,56
404,0.022216796875,0x3cb6,182,60
405,-0.03271484375,0xbd06,6,189
406,0.005126953125,0x3ba8,168,59
407,-0.0068359375,0xbbe0,224,187
408,-0.0037994384765625,0xbb79,121,187
409,0.0216064453125,0x3cb1,177,60
410,0.0166015625,0x3c88,136,60
411,-0.00634765625,0xbbd0,208,187
412,-0.004913330078125,0xbba1,161,187
413,0.00946044921875,0x3c1b,27,60
414,-0.003143310546875,0xbb4e,78,187
415,-0.0068359375,0xbbe0,224,187
416,0.000644683837890625,0x3a29,41,58
417,0.02197265625,0x3cb4,180,60
418,-0.00130462646484375,0xbaab,171,186
419,-0.021484375,0xbcb0,176,188
420,-0.017333984375,0xbc8e,142,188
421,0.02294921875,0x3cbc,188,60
422,0.0244140625,0x3cc8,200,60
423,-0.001312255859375,0xbaac,172,186
424,0.01116943359375,0x3c37,55,60
425,0.04443359375,0x3d36,54,61
426,-0.0269775390625,0xbcdd,221,188
427,0.0035247802734375,0x3b67,103,59
428,-0.00762939453125,0xbbfa,250,187
429,-0.036865234375,0xbd17,23,189
430,-0.014892578125,0xbc74,116,188
431,-0.0026397705078125,0xbb2d,45,187
432,0.0262451171875,0x3cd7,215,60
433,0.020263671875,0x3ca6,166,60
434,0.00023555755615234375,0x3977,119,57
435,0.0040283203125,0x3b84,132,59
436,-0.032470703125,0xbd05,5,189
437,-0.0179443359375,0xbc93,147,188
438,0.00201416015625,0x3b04,4,59
439,0.0269775390625,0x3cdd,221,60
440,0.02880859375,0x3cec,236,60
441,0.0169677734375,0x3c8b,139,60
442,-0.0128173828125,0xbc52,82,188
443,-0.0302734375,0xbcf8,248,188
444,-0.01287841796875,0xbc53,83,188
445,-0.01202392578125,0xbc45,69,188
446,0.00933837890625,0x3c19,25,60
447,-0.0018310546875,0xbaf0,240,186
448,0.01348876953125,0x3c5d,93,60
449,0.000881195068359375,0x3a67,103,58
450,-0.006500244140625,0xbbd5,213,187
451,-0.01239013671875,0xbc4b,75,188
452,0.0106201171875,0x3c2e,46,60
453,0.0211181640625,0x3cad,173,60
454,-0.0025482177734375,0xbb27,39,187
455,0.010986328125,0x3c34,52,60
456,-0.005279541015625,0xbbad,173,187
457,-4.458427429199219e-05,0xb83b,59,184
458,0.0159912109375,0x3c83,131,60
459,0.002471923828125,0x3b22,34,59
460,-0.007659912109375,0xbbfb,251,187
461,0.000942230224609375,0x3a77,119,58
462,0.021484375,0x3cb0,176,60
463,-0.017333984375,0xbc8e,142,188
464,0.000667572021484375,0x3a2f,47,58
465,0.01123046875,0x3c38,56,60
466,-0.015380859375,0xbc7c,124,188
467,-0.024169921875,0xbcc6,198,188
468,-0.0167236328125,0xbc89,137,188
469,-0.00799560546875,0xbc03,3,188
470,0.008544921875,0x3c0c,12,60
471,-0.019775390625,0xbca2,162,188
472,-0.015380859375,0xbc7c,124,188
473,0.01422119140625,0x3c69,105,60
474,-0.0001239776611328125,0xb902,2,185
475,-0.00165557861328125,0xbad9,217,186
476,0.007171630859375,0x3beb,235,59
477,0.03662109375,0x3d16,22,61
478,-0.00064849853515625,0xba2a,42,186
479,0.0230712890625,0x3cbd,189,60
480,-0.00628662109375,0xbbce,206,187
481,0.00860595703125,0x3c0d,13,60
482,-0.01434326171875,0xbc6b,107,188
483,-0.001953125,0xbb00,0,187
484,0.005950927734375,0x3bc3,195,59
485,8.726119995117188e-05,0x38b7,183,56
486,-0.006744384765625,0xbbdd,221,187
487,0.0185546875,0x3c98,152,60
488,0.020263671875,0x3ca6,166,60
489,0.02783203125,0x3ce4,228,60
490,-0.02294921875,0xbcbc,188,188
491,-0.0037841796875,0xbb78,120,187
492,-0.0093994140625,0xbc1a,26,188
493,0.004486083984375,0x3b93,147,59
494,0.022705078125,0x3cba,186,60
495,-0.007720947265625,0xbbfd,253,187
496,-0.00909423828125,0xbc15,21,188
497,0.013671875,0x3c60,96,60
498,-0.0201416015625,0xbca5,165,188
499,-0.0086669921875,0xbc0e,14,188
500,0.004364013671875,0x3b8f,143,59
501,0.0247802734375,0x3ccb,203,60
502,-0.006439208984375,0xbbd3,211,187
503,-0.00173187255859375,0xbae3,227,186
504,0.031005859375,0x3cfe,254,60
505,0.0302734375,0x3cf8,248,60
506,0.00482177734375,0x3b9e,158,59
507,0.0022430419921875,0x3b13,19,59
508,0.010498046875,0x3c2c,44,60
509,0.01397705078125,0x3c65,101,60
510,0.00860595703125,0x3c0d,13,60
511,-0.0245361328125,0xbcc9,201,188
